,Unnamed: 0,step,type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,nameDest,oldBalanceDest,newBalanceDest,isFraud,isFlaggedFraud,errorBalanceOrig,errorBalanceDest
1378619,3133963,236,1,261167.87,C845436232,10002.0,0.0,C1611662122,4500677.9,4761845.77,0,0,251165.87,9.313225746154783e-10
497489,1140088,131,1,160713.16,C1361053441,21378.0,0.0,C1792762595,1102511.78,1263224.94,0,0,139335.16,0.0
718620,1638073,157,0,652232.0,C620131129,97929.97,0.0,C1113205579,1648137.32,2300369.32,0,0,554302.03,4.656612873077393e-10
2685099,6157313,548,1,20790.32,C2113182263,8059.78,0.0,C1516869522,193028.41,213818.73,0,0,12730.54,0.0
2083538,4758472,333,1,212095.6,C298863065,1686.0,0.0,C1107115838,53022.97,265118.57,0,0,210409.6,0.0
1845878,4214918,305,1,67381.86,C347225720,126.0,0.0,C1079562330,920932.07,988313.93,0,0,67255.86,-1.1641532182693479e-10
759584,1726830,160,1,139526.02,C1603619756,30414.0,0.0,C1534535581,0.0,139526.02,0,0,109112.02,0.0
67005,163451,12,0,416363.21,C1542297194,750821.0,334457.79,C779918182,40638.0,922292.76,0,0,0.0,-465291.55
2508005,5740223,399,1,3503.98,C1724543175,,,C1313702337,13752641.75,13756145.73,0,0,,0.0
2721350,6243859,595,1,114707.97,C463151429,179824.0,65116.03,C605951730,37226.89,151934.86,0,0,0.0,0.0
287550,657472,35,1,661383.8,C1547551162,,,C2112601563,905250.16,1566633.96,0,0,,0.0
2456030,5626835,395,0,434724.2,C1923386200,101762.0,0.0,C1223209355,17705.22,452429.41,0,0,332962.2,0.0100000000675208
289668,661965,36,0,423679.96,C1114522065,100367.0,0.0,C1490065895,299500.21,667186.51,0,0,323312.96,55993.66000000003
2052359,4683742,331,0,1632477.19,C1955381163,,,C219643474,1823389.2,3455866.39,0,0,,-4.656612873077393e-10
2054131,4688209,331,1,118924.83,C2086628727,54743.0,0.0,C205202984,2026921.69,2145846.52,0,0,64181.83,0.0
202632,455928,19,1,314225.61,C224355336,,,C497996265,4369545.65,4683771.26,0,0,,9.313225746154783e-10
1423588,3250363,251,0,393143.05,C1214110663,,,C1257019724,1985129.27,2378272.32,0,0,,0.0
918889,2091167,182,1,279329.89,C1234692999,,,C1103638614,5514448.92,5793778.81,0,0,,0.0
2458014,5631636,395,1,229246.6,C603341235,403825.83,174579.23,C1279743803,1145980.13,1375226.73,0,0,0.0,0.0
1254795,2863008,227,1,557697.81,C1184634603,402712.0,0.0,C1375644819,0.0,557697.81,0,0,154985.81000000006,0.0
1366352,3107900,235,1,73916.54,C1548310411,19608.0,0.0,C1903423539,879414.37,953330.9,0,0,54308.53999999999,0.0100000000093132
542527,1237965,134,1,331624.91,C1963589841,62029.0,0.0,C1386742684,0.0,331624.91,0,0,269595.91,0.0
2525653,5778846,400,1,196545.6,C81844160,,,C2015642464,638110.84,966926.84,0,0,,-132270.40000000002
1624455,3710303,277,1,21415.44,C1694919396,,,C1350823161,214090.56,235506.01,0,0,,-0.0100000000093132
423174,948283,44,1,47306.61,C7724411,1149.0,0.0,C2130755388,0.0,47306.61,0,0,46157.61,0.0
462984,1058116,96,1,102314.88,C2134295129,99771.0,0.0,C1326829977,3230214.34,3332529.21,0,0,2543.8800000000047,0.0099999997764825
1050918,2396030,201,0,616080.43,C1344135171,7073.0,0.0,C1130551136,487.0,616567.43,0,0,609007.43,0.0
1406993,3212854,249,1,59470.56,C791115487,,,C1874180035,727505.82,786976.38,0,0,,-1.1641532182693479e-10
454345,1030522,69,1,967954.01,C1195032652,967954.01,0.0,C1367255869,0.0,967954.01,1,0,0.0,0.0
1615971,3690779,277,1,32614.53,C1439609593,100010.0,67395.47,C2064137941,2045586.77,2078201.3,0,0,0.0,0.0
919856,2092886,182,0,161154.9,C955152271,931599.77,770444.87,C709209962,300735.23,461890.14,0,0,0.0,-0.0100000000093132
523076,1196244,132,1,611668.43,C1955502556,305437.0,0.0,C1283627942,0.0,611668.43,0,0,306231.43000000005,0.0
2492768,5707741,398,1,413898.13,C44035294,,,C134428297,1516853.79,1930751.92,0,0,,0.0
1679404,3834903,282,1,40254.05,C1435784654,,,C1654035387,106089.8,146343.85,0,0,,0.0
1476428,3367666,254,1,87465.93,C1438561947,32354.0,0.0,C2073279341,0.0,87465.93,0,0,55111.92999999999,0.0
1178989,2679805,210,1,97304.27,C522401485,,,C1683963531,6838048.69,6935352.96,0,0,,0.0
2547431,5824477,402,1,328159.0,C424263365,,,C1830812193,7358996.52,7687155.52,0,0,,0.0
1338681,3048377,234,0,1480097.21,C1335790893,259518.73,0.0,C2129418295,12660702.75,14140799.95,0,0,1220578.48,0.0100000016391277
2174986,4975453,352,1,198231.64,C1338556573,,,C783403425,675071.92,873303.56,0,0,,0.0
1416207,3233655,250,1,410221.63,C1395560639,49058.0,0.0,C1239709477,129742.93,539964.56,0,0,361163.63,0.0
801298,1814977,163,1,155644.85,C60025879,50631.0,0.0,C2112451380,161719.93,317364.77,0,0,105013.85,0.0100000000093132
1197595,2720130,211,1,90158.17,C708825584,199289.0,109130.83,C573258851,0.0,90158.17,0,0,0.0,0.0
1809178,4136512,303,1,186669.85,C1071873664,59473.0,0.0,C1941191686,0.0,186669.85,0,0,127196.85,0.0
1752681,4011389,299,1,367201.71,C867961914,578.0,0.0,C1626774027,3736849.8,4104051.51,0,0,366623.71,0.0
155041,353088,17,1,65852.71,C1825518785,,,C1048785778,3958252.27,4024104.98,0,0,,0.0
900060,2049786,181,0,918130.32,C229109603,,,C658984954,1093249.22,2011379.54,0,0,,0.0
1145604,2606052,208,0,124697.43,C1851229309,20081.0,0.0,C1318570470,400743.85,525441.27,0,0,104616.43,0.0100000000093132
2725848,6255501,597,1,58979.07,C613562625,10315.0,0.0,C1376939277,0.0,58979.07,0,0,48664.07,0.0
504189,1155070,131,1,201260.76,C274442767,49445.0,0.0,C1426855526,7645495.18,7846755.94,0,0,151815.76,-9.313225746154783e-10
131418,302306,15,1,14486.38,C197004435,214441.0,199954.62,C208458867,0.0,14486.38,0,0,0.0,0.0
1270739,2899300,228,0,485689.18,C1181574333,58066.0,0.0,C1189637217,0.0,485689.18,0,0,427623.18,0.0
1140285,2594738,207,0,385717.88,C2001981887,85430.0,0.0,C1602806544,1535651.46,1921369.34,0,0,300287.88,-2.3283064365386963e-10
1142226,2598490,208,1,243723.07,C1733500923,,,C1893997614,1042457.63,1286180.7,0,0,,0.0
1784337,4081876,301,1,42002.06,C1449789058,128084.0,86081.94,C1918374597,226364.41,268366.47,0,0,0.0,0.0
982076,2229151,186,1,494447.62,C1633534524,,,C750675210,2810709.75,3305157.37,0,0,,0.0
874224,1992867,179,0,2324817.45,C666359698,10067.0,0.0,C1036975556,45862.57,2370680.02,0,0,2314750.45,0.0
1634480,3732323,278,1,68521.4,C600224586,,,C165287029,692870.86,761392.26,0,0,,0.0
327223,742068,38,1,77224.66,C139452942,20674.0,0.0,C1766303839,0.0,77224.66,0,0,56550.66,0.0
2266816,5191741,369,1,130559.55,C549593344,30649.0,0.0,C271217521,83210.25,213769.8,0,0,99910.55,0.0
1837362,4197425,305,1,296710.17,C129373615,,,C592983590,777106.02,1073816.19,0,0,,0.0
1098885,2503408,204,1,241341.99,C1371674529,,,C424121894,746395.97,987737.96,0,0,,0.0
1404817,3207342,249,1,141075.98,C1903362994,,,C973436722,1764023.65,1905099.63,0,0,,0.0
2598378,5935292,404,1,86115.59,C1063403213,336997.0,250881.41,C131606211,0.0,86115.59,0,0,0.0,0.0
1895888,4323873,308,1,166653.35,C684073551,,,C1217952225,237606.61,404259.97,0,0,,-0.0100000000093132
1677845,3831585,282,0,328701.89,C1650531364,,,C1843046484,1332115.74,1660817.63,0,0,,0.0
2314132,5298809,373,1,15021.99,C1619822315,,,C1470804826,697224.31,712246.29,0,0,,0.0100000000093132
1135817,2584933,207,0,270828.97,C1563425525,,,C2065455874,1297895.02,1568723.99,0,0,,0.0
2128833,4872245,348,1,450230.55,C507346364,162870.0,0.0,C829742192,76344.99,526575.54,0,0,287360.55,0.0
2714542,6229434,592,0,245636.03,C1142308967,,,C1189527609,729396.67,975032.7,0,0,,1.1641532182693479e-10
1727933,3951124,287,1,246826.1,C1626217012,,,C1022132100,2752336.97,2999163.07,0,0,,4.656612873077393e-10
1533276,3493375,258,1,148382.85,C197266163,27483.0,0.0,C2025790963,0.0,148382.85,0,0,120899.85,0.0
1049974,2393942,201,0,455426.91,C2084210531,,,C492910426,2152801.58,2608228.5,0,0,,-0.0099999997764825
955084,2170452,185,0,518689.24,C1948371045,,,C326243571,1872898.06,2391587.3,0,0,,0.0
705167,1608914,156,1,216340.13,C2108673024,148603.0,0.0,C108177401,0.0,216340.13,0,0,67737.13,0.0
1250572,2853673,227,0,1376343.92,C819458168,36058.0,0.0,C1109338717,103580.63,1479924.55,0,0,1340285.92,-2.3283064365386963e-10
467780,1073799,129,1,328234.58,C1997142203,53807.0,0.0,C788718840,63284.85,391519.43,0,0,274427.58,0.0
2611971,5972827,407,1,80949.58,C1093717739,330958.0,250008.42,C28990148,0.0,80949.58,0,0,0.0,0.0
576036,1312737,136,1,154171.05,C4404288,20870.0,0.0,C1127748094,507769.79,661940.84,0,0,133301.05,0.0
2188989,5006253,353,1,148789.26,C488671024,,,C1687233293,2387988.58,2536777.84,0,0,,0.0
1302591,2969808,231,1,107661.68,C1909801423,5088.0,0.0,C156235951,900344.3,1008005.98,0,0,102573.68,0.0
2581741,5898832,403,1,129563.77,C2094860937,,,C1999981170,1074863.27,1204427.04,0,0,,0.0
2292964,5251598,371,1,434161.26,C158293012,31626.0,0.0,C2044313281,0.0,434161.26,0,0,402535.26,0.0
1909983,4358094,309,1,184139.36,C314676632,54880.0,0.0,C2138586365,241973.63,426112.99,0,0,129259.36,0.0
483193,1108537,130,0,288502.36,C655612630,,,C928492934,306393.05,641014.63,0,0,,-46119.22000000009
1918437,4386938,313,1,406299.44,C34461225,,,C441544680,2218912.68,2625212.12,0,0,,0.0
1469752,3352880,254,1,151530.74,C2096676414,,,C533694595,189023.03,340553.77,0,0,,0.0
800329,1812662,163,1,17977.07,C1413712238,20705.0,2727.93,C397672119,2633090.91,2651067.99,0,0,0.0,-0.0100000002421438
762861,1734502,161,1,192052.93,C343048201,,,C294978727,2651573.19,2843626.12,0,0,,0.0
1148330,2612008,208,1,46518.28,C1383451196,,,C1400720500,198734.49,245252.77,0,0,,0.0
613874,1393420,139,1,447014.4,C1774667221,,,C1545242363,3896118.21,4343132.6,0,0,,0.0100000007078051
790867,1793799,162,1,124166.58,C544572484,35815.0,0.0,C401151779,255418.62,379585.2,0,0,88351.58,0.0
1056307,2407924,202,0,540318.79,C1625313290,,,C195178449,569889.73,992950.94,0,0,,117257.58000000007
640589,1452144,140,0,1077290.53,C566334482,,,C1552059760,1469842.8,2709230.93,0,0,,-162097.6000000001
1940983,4439227,323,0,545858.78,C486812625,,,C831472911,1099551.71,1645410.49,0,0,,0.0
982048,2229123,186,1,74678.92,C2056934317,,,C819320190,385321.05,459999.98,0,0,,-0.0100000000093132
2192873,5015123,353,0,859852.99,C862607801,,,C441469708,864507.32,1724360.31,0,0,,0.0
2541020,5811032,401,1,44249.48,C1047691614,,,C759700960,8659297.12,8703546.6,0,0,,0.0
1252997,2859329,227,0,874498.71,C1670623257,105146.0,0.0,C2023456810,0.0,874498.71,0,0,769352.71,0.0
1246317,2844701,226,1,38661.0,C361181455,49578.0,10917.0,C1958886296,58517.04,97178.05,0,0,0.0,-0.0099999999947613
1070843,2440648,203,1,342309.31,C900946504,,,C1339257929,4302044.36,4644353.67,0,0,,0.0
1635515,3734371,278,1,273988.93,C1716015811,744.21,0.0,C2130064541,18777727.5,19051716.43,0,0,273244.72,0.0
238733,537153,21,1,220770.02,C928047860,,,C1359652839,1550238.86,2001069.16,0,0,,-230060.2799999998
2190180,5009108,353,0,30778.15,C2101956977,11931.0,0.0,C344738699,14563.13,45341.28,0,0,18847.15,0.0
566018,1290029,135,1,15161.11,C1256419817,,,C942270572,99092.8,114253.91,0,0,,0.0
563939,1284739,135,0,1193090.27,C1864304573,10022.0,0.0,C766835132,5618.73,1198708.99,0,0,1183068.27,0.0100000000093132
1628670,3719639,278,0,28237.73,C180499542,,,C47016441,206128.96,323445.74,0,0,,-89079.04999999999
2482173,5684453,397,1,335980.58,C1808634129,208838.0,0.0,C819813399,1550636.84,1886617.42,0,0,127142.58000000002,2.3283064365386963e-10
1457443,3326790,253,1,194024.32,C1792289041,20632.0,0.0,C1419444399,47082.02,241106.35,0,0,173392.32,-0.0100000000093132
1448966,3306427,252,1,143113.17,C1636938837,10182.0,0.0,C1304230544,7958245.1,8101358.27,0,0,132931.17,0.0
597568,1357813,138,1,120639.4,C1742362148,,,C807015409,462755.06,583394.46,0,0,,0.0
2057043,4693793,331,1,188274.03,C1625463569,,,C2005896253,203190.38,391464.42,0,0,,-0.0099999999511055
749444,1705713,160,0,727127.15,C1837765151,40204.0,0.0,C672380719,74560.21,801687.36,0,0,686923.15,0.0
1453487,3317193,252,1,254021.72,C378722991,,,C1169890411,288579.17,542600.88,0,0,,0.0100000000093132
565716,1289381,135,1,13510.04,C2036322485,,,C2051205677,51070.22,64580.26,0,0,,0.0
1913951,4370165,310,0,305757.55,C127656794,,,C1035650359,1371024.02,1676781.57,0,0,,0.0
2195542,5021091,353,1,20009.53,C2048890693,20826.0,816.47,C1300612449,0.0,20009.53,0,0,0.0,0.0
1302340,2969222,231,1,9035.25,C466426631,12804.0,3768.75,C77088420,508883.31,517918.57,0,0,0.0,-0.0100000000093132
2512649,5749851,399,1,233487.98,C140731749,,,C1489832633,495834.2,729322.18,0,0,,0.0
703643,1605144,156,1,150076.81,C1011275777,,,C388583042,6127510.14,6277586.95,0,0,,-9.313225746154783e-10
1126087,2562752,206,0,1947439.78,C1729580277,,,C145398933,4824688.01,6772127.79,0,0,,0.0
2001735,4573509,328,0,9027198.35,C1669109490,32302.0,0.0,C1300283766,451112.86,9478311.21,0,0,8994896.35,-1.862645149230957e-09
1130748,2573703,207,0,440666.01,C790018011,464341.74,23675.73,C574758909,2620689.22,3061355.23,0,0,0.0,4.656612873077393e-10
1389144,3161073,237,1,89055.23,C1668321684,30092.0,0.0,C1622215131,190008.72,279063.95,0,0,58963.23,0.0
2341695,5361102,375,1,475622.37,C2034833361,139.0,0.0,C45380983,0.0,475622.37,0,0,475483.37,0.0
1573357,3584449,261,1,128421.04,C59974999,,,C293125824,248784.79,377205.83,0,0,,0.0
1776498,4064957,300,1,671721.14,C1038943186,,,C524142066,2763457.45,3435178.59,0,0,,4.656612873077393e-10
905655,2062039,181,1,2191.15,C883830403,71620.0,69428.85,C1045256432,764871.24,767062.39,0,0,0.0,0.0
1923740,4400161,321,1,283871.83,C720104383,,,C641326386,1384908.36,1668780.19,0,0,,2.3283064365386963e-10
1008529,2285866,187,1,131008.86,C473313976,55416.0,0.0,C1754571129,11748208.88,11879217.74,0,0,75592.86,0.0
1248182,2848773,227,1,453327.97,C754905077,30253.0,0.0,C857949656,231379.61,684707.58,0,0,423074.97,0.0
2181182,4989134,352,1,133089.53,C1618849998,10697.0,0.0,C561579032,0.0,133089.53,0,0,122392.53,0.0
1008734,2286469,187,1,187169.17,C2050448816,57.0,0.0,C73327093,0.0,187169.17,0,0,187112.17,0.0
1276953,2912292,229,1,137725.24,C1607227333,,,C686412725,4577323.1,4715048.34,0,0,,0.0
2742237,6297343,681,0,666480.63,C824371496,,,C1528204622,1169015.62,1835496.24,0,0,,0.0100000000093132
499461,1144330,131,0,2223395.3,C2067051483,319064.0,0.0,C351733325,0.0,2223395.3,0,0,1904331.3,0.0
2649518,6072056,514,1,233573.99,C1544541689,,,C2024609461,5694005.71,5927579.7,0,0,,0.0
1427561,3259227,251,1,38458.58,C737990070,20609.0,0.0,C1292459145,650564.07,689022.65,0,0,17849.58,-1.1641532182693479e-10
1321924,3013279,232,1,245343.01,C1779724560,152139.0,0.0,C1114689792,1495883.77,1741226.78,0,0,93204.01,0.0
1693846,3866936,283,1,138669.06,C1113319815,,,C1305051232,145012.83,283681.89,0,0,,0.0
909693,2070643,181,1,179345.22,C2125036539,91043.0,0.0,C1215558683,0.0,179345.22,0,0,88302.22,0.0
1132488,2577667,207,1,121759.34,C1696042666,,,C1753227243,547680.72,669440.05,0,0,,0.0099999998928979
698022,1592329,156,0,234152.05,C143539569,,,C873662709,2363311.77,2597463.82,0,0,,0.0
2401882,5491142,380,1,42712.44,C2081940737,123327.0,80614.56,C2064432137,302650.67,345363.11,0,0,0.0,0.0
550592,1255928,134,1,309852.84,C171642947,40128.0,0.0,C245619941,531537.63,841390.48,0,0,269724.84,-0.0100000000093132
186225,419994,18,1,26839.24,C521344524,,,C443459636,1508672.72,1535511.96,0,0,,0.0
2362306,5406819,377,1,3764.66,C336257178,173618.0,169853.34,C985831544,384836.04,388600.71,0,0,0.0,-0.0100000000675208
1184984,2692690,211,1,112406.01,C262438491,101857.0,0.0,C436584989,112807.0,199031.58,0,0,10549.009999999997,26181.430000000026
18547,50248,9,1,213304.18,C161305594,,,C548922708,671182.0,0.0,0,0,,884486.1799999999
1113371,2535018,205,1,73828.44,C1217950009,,,C607890642,298407.3,372235.73,0,0,,0.0100000000093132
102831,241475,14,1,141326.57,C472682796,6097.0,0.0,C308724742,202726.62,218794.31,0,0,135229.57,125258.88
857840,1955717,178,1,65255.18,C1279591705,,,C900814285,281489.97,346745.15,0,0,,-5.820766091346741e-11
1629585,3721764,278,1,244910.29,C476373672,42613.0,0.0,C1546375658,0.0,244910.29,0,0,202297.29,0.0
67255,164001,12,0,1564895.62,C1134994757,186348.57,0.0,C1271289269,2533219.59,3829048.5,0,0,1378547.05,269066.71
185064,417474,18,1,89785.99,C1106979805,207.0,0.0,C1825389809,8123527.9,8213313.89,0,0,89578.99,9.313225746154783e-10
2665476,6109276,525,0,1063602.84,C1597359680,,,C1755815572,4857509.26,5921112.1,0,0,,0.0
2426483,5556000,383,0,581872.47,C2066485609,,,C1781841279,2262704.33,2844576.8,0,0,,0.0
1355962,3085733,235,1,80928.31,C1383709275,49984.0,0.0,C919789335,1902391.37,1983319.67,0,0,30944.31,0.0100000002421438
1461,7013,6,0,102145.81,C956331813,31393.0,0.0,C266418454,16400.0,230459.06,0,0,70752.81,-111913.25
2359234,5400215,377,1,332440.05,C1532611263,,,C178365992,594504.75,926944.8,0,0,,0.0
576946,1314251,136,0,49417.94,C663208336,,,C1612461292,619727.95,669145.9,0,0,,-0.0100000001257285
1058678,2413009,202,1,181770.55,C905240449,911767.0,729996.45,C1321053901,1153994.73,1335765.28,0,0,0.0,0.0
1049320,2392593,201,1,85225.68,C1496027931,70373.0,0.0,C82288314,316607.71,401833.39,0,0,14852.679999999991,0.0
2666228,6111365,525,1,104044.07,C230735479,8596.0,0.0,C174250372,188404.28,292448.35,0,0,95448.07,0.0
2171365,4966936,351,1,29463.81,C1986474362,148846.0,119382.19,C1640822623,4078127.11,4107590.92,0,0,0.0,0.0
167629,380198,17,0,1829002.74,C46292949,78657.0,0.0,C349795910,150.0,1829152.74,0,0,1750345.74,0.0
2031759,4639444,330,1,99195.6,C414946569,39744.0,0.0,C1754779159,305895.01,405090.61,0,0,59451.600000000006,0.0
533063,1218145,133,1,681077.62,C1754457024,,,C1523536343,4028130.61,4996972.72,0,0,,-287764.4900000002
2574267,5883581,403,1,18870.39,C1022786473,,,C1634759950,175359.32,194229.72,0,0,,-0.0099999999802093
1585883,3622798,274,1,342141.69,C1236961314,902.0,0.0,C2106870844,144673.23,486814.92,0,0,341239.69,5.820766091346741e-11
921959,2097144,182,1,292874.52,C329363219,3050.0,0.0,C295499536,0.0,292874.52,0,0,289824.52,0.0
2099432,4804858,346,1,206201.43,C492400087,11409.0,0.0,C1742098801,2504790.81,2710992.25,0,0,194792.43,-0.0099999997764825
1875975,4279888,307,1,304544.28,C391670053,,,C1643681194,405270.87,709815.16,0,0,,-0.0100000000093132
2721079,6243098,595,0,209663.66,C215518709,,,C638243290,1787722.81,1997386.47,0,0,,0.0
1018009,2307687,188,1,281255.48,C449454889,5010.0,0.0,C1359173222,64014.03,345269.52,0,0,276245.48,-0.0100000000093132
1487082,3391871,255,1,37721.03,C1510013125,,,C784934265,150205.52,187926.55,0,0,,0.0
2217806,5068859,354,0,689037.38,C1377301199,,,C1938044247,7177143.59,7866180.97,0,0,,0.0
1496418,3412790,256,1,28864.68,C1124935707,,,C877204826,73845.38,102710.07,0,0,,-0.0100000000093132
1437285,3281214,251,1,370247.96,C410573461,144368.0,0.0,C2089911856,932777.32,1303025.28,0,0,225879.96,0.0
840502,1905633,165,1,2974.37,C221056686,101267.0,98292.63,C1498936368,209475.19,212449.56,0,0,0.0,0.0
1368804,3113128,235,1,291596.35,C845899233,,,C1593079147,1598125.98,1889722.32,0,0,,0.0100000000093132
1120380,2550161,206,1,52562.58,C1286766162,,,C846079408,204875.6,257438.17,0,0,,0.0099999999802093
194515,438203,18,0,211406.82,C771760412,15597.0,0.0,C669865861,128756.0,0.0,0,0,195809.82,340162.82
1888935,4308051,307,1,182538.48,C1315633103,102859.0,0.0,C1548157201,200397.2,382935.68,0,0,79679.48000000001,5.820766091346741e-11
1704259,3889100,284,1,259770.0,C274654200,13110.0,0.0,C1235589648,101347.33,361117.32,0,0,246660.0,0.0100000000093132
449361,1012663,46,1,397580.54,C176413109,49907.0,0.0,C1301137557,360988.77,758569.31,0,0,347673.54,0.0
590161,1342430,137,1,50679.39,C750483977,,,C1096948636,193414.26,244093.66,0,0,,-0.0099999999802093
1793704,4102484,301,1,109319.56,C70935720,,,C2034088711,4646399.13,4755718.69,0,0,,-9.313225746154783e-10
779646,1769603,162,1,189657.06,C1357072233,41101.0,0.0,C588883592,354810.72,544467.78,0,0,148556.06,0.0
1082187,2466325,203,1,238760.77,C997972780,27847.41,0.0,C1680469956,3051799.21,3290559.99,0,0,210913.36,-0.0100000002421438
1148148,2611598,208,1,331603.43,C804315417,29683.0,0.0,C1848552487,3139184.09,3470787.52,0,0,301920.43,0.0
883600,2013176,180,1,54860.16,C1912898759,,,C322477364,4312453.46,4367313.62,0,0,,0.0
893123,2034216,180,1,88323.94,C1684880169,264082.96,175759.02,C633236222,608419.59,696743.53,0,0,-5.820766091346741e-11,0.0
189025,425835,18,1,577151.89,C1541825320,,,C1631224912,633199.36,2025137.57,0,0,,-814786.3200000001
167433,379746,17,1,382196.87,C1364604180,2375.0,0.0,C1630753355,0.0,382196.87,0,0,379821.87,0.0
1909222,4355746,309,1,139191.4,C410198809,,,C1911107606,190411.71,329603.1,0,0,,0.0100000000093132
2144133,4906217,349,1,149751.95,C1700428555,,,C487832561,12431050.17,12580802.12,0,0,,0.0
1296878,2957209,230,1,124177.56,C1595681259,,,C1035914794,687724.8,811902.35,0,0,,0.0100000001257285
611113,1387841,139,1,109970.84,C1229625301,,,C1106701274,247994.04,357964.89,0,0,,-0.0100000000093132
1733781,3969045,297,1,144491.08,C901193250,,,C1069656150,1061593.03,1206084.12,0,0,,-0.0100000000093132
1515227,3454495,257,0,1136889.47,C1333123990,11925.0,0.0,C579393193,0.0,1136889.47,0,0,1124964.47,0.0
1541142,3510123,259,0,487169.43,C131456752,8763.0,0.0,C1785758049,186173.93,673343.37,0,0,478406.43,-0.0100000000093132
1486783,3391135,255,1,105525.27,C1851937744,15151.0,0.0,C1263110599,207249.22,312774.49,0,0,90374.27,0.0
1139145,2592097,207,1,61739.62,C333418407,,,C106458540,236785.98,298525.6,0,0,,5.820766091346741e-11
1199530,2724394,211,1,107344.98,C493578574,,,C1592347969,203874.79,311219.77,0,0,,0.0
2694103,6180509,565,1,47046.08,C739825618,,,C1318082137,1953331.69,2000377.77,0,0,,0.0
605921,1375875,138,1,194106.66,C1971324837,305355.0,111248.34,C72165206,0.0,194106.66,0,0,0.0,0.0
2034277,4645020,330,1,115508.73,C1324493057,175543.0,60034.27,C1245311635,0.0,115508.73,0,0,0.0,0.0
2621712,6002219,428,1,201558.93,C1178678172,687.0,0.0,C90841996,745525.39,947084.32,0,0,200871.93,1.1641532182693479e-10
2376399,5437213,378,1,304855.8,C1099491069,,,C1958076547,11761686.17,12066541.97,0,0,,0.0
1907348,4350524,309,0,295865.7,C755956143,506572.0,210706.3,C1180747828,326240.49,622106.19,0,0,0.0,0.0
